,account_payment_method,approval_amount,scheduled_payment_amt,days_past_due,past_due_amt,age,zip_code,city,sms_contacted_ts,state,years_at_current_residence,months_at_current_residence,source,email_contacted_ts,payment_frequency,number_of_payments,redeem_ts
0,2.0,250.0,18.84,0,0.0,31.0,80012,73.0,1.0,5.0,2,1,2.0,0.0,4.0,52,1.0
1,2.0,80.0,32.88,0,0.0,21.0,76086,1590.0,0.0,41.0,1,0,0.0,1.0,0.0,26,1.0
2,2.0,956.0,423.5,0,0.0,43.0,99344,1086.0,1.0,45.0,1,0,2.0,1.0,1.0,12,1.0
3,2.0,9.0,18.15,0,0.0,33.0,92251,684.0,1.0,4.0,0,11,2.0,0.0,0.0,26,1.0
4,2.0,250.0,87.73,0,0.0,38.0,44105,264.0,1.0,33.0,6,0,2.0,1.0,0.0,26,1.0
5,2.0,88.0,14.7,0,0.0,36.0,91791,1596.0,1.0,4.0,4,5,2.0,1.0,0.0,26,1.0
6,2.0,501.0,75.47,0,0.0,57.0,77447,650.0,1.0,41.0,6,0,2.0,1.0,0.0,26,1.0
7,2.0,693.0,47.46,0,0.0,27.0,92020,422.0,0.0,4.0,0,8,0.0,1.0,4.0,52,1.0
8,2.0,459.0,61.87,0,0.0,35.0,19122,1146.0,1.0,36.0,1,5,2.0,1.0,0.0,26,1.0
9,2.0,273.0,85.3,0,0.0,52.0,18102,29.0,1.0,36.0,1,0,6.0,1.0,2.0,12,1.0
10,2.0,639.0,82.92,0,0.0,49.0,75834,220.0,0.0,41.0,6,0,2.0,1.0,4.0,52,1.0
11,2.0,235.0,16.0,0,0.0,34.0,26301,254.0,1.0,46.0,6,8,2.0,1.0,4.0,52,1.0
12,2.0,581.0,80.89,0,0.0,30.0,6902,1435.0,0.0,6.0,12,1,2.0,1.0,0.0,26,1.0
13,1.0,693.0,109.93,0,0.0,30.0,85710,1526.0,1.0,3.0,2,0,2.0,1.0,3.0,24,1.0
14,2.0,325.0,24.5,0,0.0,27.0,21205,89.0,1.0,20.0,6,0,2.0,1.0,4.0,52,1.0
15,1.0,773.0,48.37,0,0.0,25.0,11236,162.0,0.0,32.0,6,0,6.0,1.0,4.0,52,1.0
16,2.0,113.0,24.74,0,0.0,46.0,32504,1135.0,1.0,9.0,3,0,2.0,1.0,0.0,26,1.0
17,2.0,90.0,119.84,0,0.0,24.0,33018,638.0,1.0,9.0,6,0,2.0,1.0,3.0,24,1.0
18,2.0,139.0,43.32,0,0.0,36.0,30223,580.0,1.0,10.0,5,4,2.0,1.0,4.0,52,1.0
19,2.0,132.0,112.48,0,0.0,74.0,84104,1313.0,1.0,42.0,28,0,2.0,0.0,3.0,26,1.0
